Riding,Round,PC,Liberal,NDP,Green,AV Winner
Toronto,1,35,77,114,24,
Toronto,2,45,82,123,,
Toronto,3,,102,148,,NDP
Ottawa,1,43,123,59,25,
Ottawa,2,53,129,68,,Liberal
Niagara Falls,1,114,69,56,11,
Niagara Falls,2,119,72,59,,
Niagara Falls,3,148,102,,,PC
Mississauga,1,91,104,45,10,
Mississauga,2,96,108,46,,
Mississauga,3,113,137,,,Liberal
Hamilton,1,36,61,129,24,NDP
London,1,77,90,63,20,
London,2,84,96,70,,
London,3,115,135,,,Liberal
Markham,1,127,79,31,13,PC
Waterloo,1,56,91,76,27,
Waterloo,2,65,100,85,,
Waterloo,3,,132,118,,Liberal
Scarborough,1,77,122,36,15,
Scarborough,2,80,129,41,,Liberal
Vaughan,1,49,86,55,60,
Vaughan,2,,99,70,81,
Vaughan,3,,139,,111,Liberal
